2, 16, 91.09, 63.32, 81.47, 36.45, 11.29 
4, 32, 129.63, 86.00, 110.75, 63.86, 19.79 
8, 64, 211.56, 67.11, 97.45, 704.89, 218.45 
16, 128, 93.76, 66.70, 91.74, 34.61, 10.73 
32, 256, 98.12, 68.10, 82.71, 44.67, 13.84 
64, 512, 103.04, 69.82, 84.92, 50.40, 15.62 
128, 1024, 462.64, 79.00, 260.11, 416.09, 128.95 
256, 2048, 100.49, 84.48, 94.11, 16.50, 5.11 
512, 4096, 139.02, 104.24, 134.89, 25.08, 7.77 
1024, 8192, 148.86, 133.73, 142.23, 15.66, 4.85 
2048, 16384, 238.77, 201.79, 221.13, 67.95, 21.06 
4096, 32768, 374.50, 325.13, 359.26, 59.03, 18.29 
8192, 65536, 674.22, 595.34, 641.27, 104.14, 32.27 
16384, 131072, 1151.53, 989.06, 1008.10, 695.07, 215.41 
32768, 262144, 1957.68, 1918.63, 1940.24, 57.27, 17.75 
65536, 524288, 3950.60, 3902.10, 3923.95, 58.98, 18.28 
131072, 1048576, 8713.04, 8064.34, 8136.84, 1426.57, 442.10 
262144, 2097152, 16560.22, 15935.96, 16041.40, 1806.82, 559.94 
524288, 4194304, 36332.31, 31640.83, 32084.30, 10490.65, 3251.09 
1048576, 8388608, 207980.68, 200813.14, 207329.47, 4479.25, 1388.13 
2097152, 16777216, 281918.15, 274254.54, 282503.94, 4011.89, 1243.30 
4194304, 33554432, 402619.18, 391071.04, 401222.99, 6307.24, 1954.63 
8388608, 67108864, 655509.18, 642752.02, 655299.24, 6753.78, 2093.02 
